Route_ID,From_MPT,To_MPT,Traffic_Link_ID,Route_Name,From_Description,To_Description,Functional_Class,FHWA_Urban_Area_Type,FHWA_Urban_Area_Code,FHWA_Urban_Area_Name,Seg_Length_Miles,AADT_2019,AADT_2018,AADT_2017,AADT_2016,AADT_2015,AADT_2014,AADT_2013,AADT_2012,AADT_2011,AADT_2010,AADT_2009,AADT_2008,AADT_2007,AADT_2006,AADT_2005,AADT_2004,AADT_2003,AADT_2002,REGION,Shape_Length
1000000R001,-0.00000002,0.05553399,AL000296,Sterling SB Wye (Kenai Spur) (Sterling Highway),Sterling Highway,Kenai Spur Highway,1,2,99998,Soldotna,0.05553401,3977,4307,4081,4779,4639,4541,4800,4680,5427,5440,5330,5145,4480,,4565,4420,4190,4197,CENTRAL,89.37342791
1000000X000,-0.00000002,0.57878682,AL000170,Sterling Highway (Sterling Highway),Seward Highway,Sterling Wye,1,3,99999,Rural,0.57878684,2063,2274,2157,2170,2041,2260,2240,2256,1747,1666,2001,1710,1850,,2170,2160,2129,1540,CENTRAL,931.4689561
1000000X000,17.96364013,21.7005382,AL000163,Sterling Highway (Sterling Highway),Russian River Ferry Entrance,Skilak Lake Road,1,3,99999,Rural,3.73689807,3795,4183,4070,3938,3704,3562,3230,3140,3178,3180,3180,2981,3130,,3113,3280,3260,3200,CENTRAL,6013.966509
1000000X000,15.6289122,17.96364013,AL000164,Sterling Highway (Sterling Highway),Russian River Campground Road,Russian River Ferry Entrance,1,3,99999,Rural,2.33472793,3229,3559,3463,3483,3276,3462,3580,3456,3989,3804,4079,3060,3310,,2710,2710,2668,2870,CENTRAL,3757.387957
1000000X000,11.10781966,15.6289122,AL002732,Sterling Highway (Sterling Highway),Snug Harbor Road,Russian River Campground Road,1,3,99999,Rural,4.52109254,3998,4406,4287,4312,3487,3353,3350,3270,3345,3390,3410,3212,3780,,3461,3290,3240,3194,CENTRAL,7276.007712
1000000X000,8.07233431,11.10781966,AL000167,Sterling Highway (Sterling Highway),Quartz Creek Road,Snug Harbor Road,1,3,99999,Rural,3.03548535,3154,3476,3364,3384,3183,3038,3140,3033,3870,3690,3714,3490,3778,,3410,3410,3360,3320,CENTRAL,4885.149887
1000000X000,0.57878682,8.07233431,AL000169,Sterling Highway (Sterling Highway),Sterling Wye,Quartz Creek Road,1,3,99999,Rural,7.49354749,3150,3103,3162,3184,3201,3078,3021,2915,2947,3037,3055,2880,3120,,3124,3132,3082,3042,CENTRAL,12059.7198
1000000X000,95.5646666,97.9526252,AL000138,Sterling Highway (Sterling Highway),MISSION AVENUE (113600),DEEP CREEK ROAD (113000),3,3,99999,Rural,2.3879586,3762,3939,3914,4080,3709,3613,3592,3270,3625,3457,3170,3150,3465,,3240,3260,3340,3360,CENTRAL,3843.054466
1000000X000,133.7980982,138.0489989,AL002771,Sterling Highway (Sterling Highway),KACHEMAK BAY ROAD (110200),ROAD END/HOMER SPIT END,3,3,99999,Rural,4.2509007,4296,4299,4281,4295,4146,4444,3776,3677,3861,3874,3773,3840,4125,,4189,4075,4055,4107,CENTRAL,6841.175354
1000000X000,88.1259024,95.5646666,AL000140,Sterling Highway (Sterling Highway),SILVER LANE,MISSION AVENUE (113600),3,3,99999,Rural,7.4387642,2693,2615,2599,2710,2516,2786,2800,2753,2789,2660,2553,1890,2060,,2170,2180,2180,2190,CENTRAL,11971.55437
1000000X000,132.7168365,133.7980982,AL000126,Sterling Highway (Sterling Highway),LAKE STREET (110150),KACHEMAK BAY ROAD (110200),3,3,99999,Rural,1.0812617,8962,8912,8856,7877,7313,6897,6857,6840,7075,6090,5970,6017,6410,,6492,6410,6250,6111,CENTRAL,1740.125357
1000000X000,132.023329,132.7168365,AL000127,Sterling Highway (Sterling Highway),MAIN STREET (110625) - PTR,LAKE STREET (110150),3,3,99999,Rural,0.6935075,9221,9476,9999,10040,9501,9263,9218,9090,9275,9400,9266,9257,9595,,9709,9830,9393,8873,CENTRAL,1116.094471
1000000X000,131.772972,132.023329,AL001837,Sterling Highway (Sterling Highway),PIONEER AVENUE (110100),MAIN STREET (110625),3,3,99999,Rural,0.250357,8807,8758,7754,8083,7504,8230,8250,8134,9040,8620,8495,9640,9990,,8840,8950,8838,6490,CENTRAL,402.9113177
1000000X000,130.8541534,131.772972,AL000129,Sterling Highway (Sterling Highway),WEST HILL ROAD (110800),PIONEER AVENUE (110100),3,3,99999,Rural,0.9188186,7568,6728,6686,6970,7365,8034,6551,6594,7894,7094,7380,7360,7762,,7360,7438,6890,6590,CENTRAL,1478.698306
1000000X000,129.0627266,130.8541533,AL000130,Sterling Highway (Sterling Highway),ROGERS LOOP (111000),WEST HILL ROAD (110800),3,3,99999,Rural,1.7914267,6573,5607,5572,5808,5392,5340,5350,5278,5223,4980,4860,4844,5500,,5464,4950,4960,4773,CENTRAL,2883.027652
1000000X000,128.5599804,129.0627266,AL000131,Sterling Highway (Sterling Highway),ROGERS LOOP (111000),ROGERS LOOP (111000),3,3,99999,Rural,0.5027462,4673,4647,4618,4814,4469,5349,4940,4874,5028,4860,4740,4723,4620,,4588,4900,4910,4725,CENTRAL,809.0932231
1000000X000,126.4601732,128.5599804,AL001845,Sterling Highway (Sterling Highway),DIAMOND RIDGE ROAD (111300),ROGERS LOOP (111000),3,3,99999,Rural,2.0998072,4868,4773,4743,4944,4590,4477,4490,4425,4090,3900,3800,3790,4097,,4340,4375,3850,3710,CENTRAL,3379.318786
1000000X000,124.2016368,126.4601732,AL000132,Sterling Highway (Sterling Highway),OLD STERLING HIGHWAY (111700),DIAMOND RIDGE ROAD (111300),3,3,99999,Rural,2.2585364,4061,4039,4014,4099,3806,3707,3540,3500,3642,3510,3340,3320,3340,,3228,3000,3010,2929,CENTRAL,3634.769303
1000000X000,123.7252054,124.2016368,AL000133,Sterling Highway (Sterling Highway),NORTH FORK ROAD (111800),OLD STERLING HIGHWAY (111700),3,3,99999,Rural,0.4764314,4420,3995,3970,4139,3408,3320,3068,3240,3587,3421,3580,3560,3911,,3860,3884,4320,4210,CENTRAL,766.7436107
1000000X000,116.6398343,123.7252054,AL000134,Sterling Highway (Sterling Highway),OLD STERLING HIGHWAY (111700),NORTH FORK ROAD (111800),3,3,99999,Rural,7.0853711,3979,3396,3375,3518,3266,3297,3300,3258,3503,3340,3182,2960,3253,,3400,3420,3426,2990,CENTRAL,11402.82223
1000000X000,116.3777681,116.6398343,AL000135,Sterling Highway (Sterling Highway),NORTH FORK ROAD (111800),OLD STERLING HIGHWAY (111700),3,3,99999,Rural,0.2620662,5096,5068,4170,4347,4036,4193,4200,4144,4446,4240,4035,4150,4560,,4340,4370,4379,3780,CENTRAL,421.7555019
1000000X000,111.7989845,116.3777681,AL000136,Sterling Highway (Sterling Highway),ALTA LOOP (112300) - PTR,NORTH FORK ROAD (111800),3,3,99999,Rural,4.5787836,2909,2805,2816,2801,2642,2561,2500,2469,2571,2611,2484,2467,2715,,2582,2601,2605,2622,CENTRAL,7368.852712
1000000X000,97.9526252,111.7989845,AL000137,Sterling Highway (Sterling Highway),DEEP CREEK ROAD (113000),ALTA LOOP (112300),3,3,99999,Rural,13.8463593,2410,2841,2823,2943,2481,2416,2402,2070,2300,2193,2100,2090,2300,,2210,2221,2460,2480,CENTRAL,22283.59982
1000000X000,78.6604567,88.1259024,AL000141,Sterling Highway (Sterling Highway),Clam Gulch Road,Silver Lane,3,3,99999,Rural,9.4654457,2995,2979,2961,3875,3598,3505,3130,3050,3108,3140,3050,2970,2530,,2687,2610,2620,2637,CENTRAL,15233.18875
1000000X000,75.4132281,78.6604567,AL000142,Sterling Highway (Sterling Highway),Cohoe Loop Road,Clam Gulch Road,3,3,99999,Rural,3.2472286,3766,2983,2965,3091,2870,2796,2611,3052,3404,3390,3290,3210,3454,,2890,2905,3360,3380,CENTRAL,5225.918394
1000000X000,72.5468595,75.4132281,AL000143,Sterling Highway (Sterling Highway),Cohoe Loop Road,Cohoe Loop Road,3,3,99999,Rural,2.8663686,3335,3317,3296,4005,4101,3994,3605,4790,4825,3468,3830,3689,3525,,4580,4610,4620,3130,CENTRAL,4612.982298
1000000X000,70.5237511,72.5468595,AL000144,Sterling Highway (Sterling Highway),Kalifornsky Beach Road,Cohoe Loop Road,3,3,99999,Rural,2.0231084,6419,6358,6318,6586,5551,5407,5334,4710,4765,5650,4920,4767,5294,,5000,5030,5170,5180,CENTRAL,3255.883939
1000000X000,64.7991586,70.5237511,AL000146,Sterling Highway (Sterling Highway),Reflection Lake Road,Kalifornsky Beach Road,3,3,99999,Rural,5.7245925,4392,4368,3691,3848,3573,4242,4360,4192,4966,4735,3901,3910,4120,,4840,4870,4882,3470,CENTRAL,9212.856972
1000000X000,62.4924702,64.7991586,AL000148,Sterling Highway (Sterling Highway),Arc Loop Road,Reflection Lake Road,3,3,99999,Rural,2.3066884,4666,4640,4611,6452,5990,5835,5020,4830,4824,4650,4607,5220,5500,,5419,4300,4270,4281,CENTRAL,3712.26257
1000000X000,58.2367355,62.4924702,AL000151,Sterling Highway (Sterling Highway),Kalifornsky Beach Road,Arc Loop Road,3,2,99998,Soldotna,4.2557347,4773,5169,4260,5188,4817,5093,5230,5033,5852,5580,5531,6070,6400,,6579,6620,6544,5960,CENTRAL,6848.954794
1000000X000,56.9737257,57.3012767,AL002042,Sterling Highway (Sterling Highway),Kenai Spur Highway,Birch Place,3,2,99998,Soldotna,0.327551,14380,15571,12831,15625,15168,18275,18650,18085,17724,16900,16634,14120,14850,,14618,15870,11560,15580,CENTRAL,527.1432965
1000000X000,55.5065939,56.9737257,AL000156,Sterling Highway (Sterling Highway),Mackey Lake Road,Kenai Spur Highway,1,2,99998,Soldotna,1.4671318,15769,17378,16908,13828,13423,13140,15850,15410,15409,14160,13908,13030,13690,,13590,15023,12980,13004,CENTRAL,2361.124614
1000000X000,52.6458564,55.5065939,AL000157,Sterling Highway (Sterling Highway),Forest Lane Road,Mackey Lake Road,1,3,99999,Rural,2.8607375,11442,14316,13929,14009,9875,9496,10390,10240,10848,10344,11720,11220,11827,,12949,10348,11070,11090,CENTRAL,4603.919855
1000000X000,50.5721973,52.6458564,AL000158,Sterling Highway (Sterling Highway),Robinson Loop Road,Forest Lane Road,1,3,99999,Rural,2.0736591,8845,8941,8899,8894,8881,8819,8560,8314,8313,8425,8352,7997,8430,,8303,8311,8221,8238,CENTRAL,3337.23741
1000000X000,46.882471,50.5721973,AL000159,Sterling Highway (Sterling Highway),Scout Lake Road,Robinson Loop Road,1,3,99999,Rural,3.6897263,6727,7414,7214,9406,8846,8506,8340,8030,8022,6090,6040,5782,7340,,7233,4180,4160,4173,CENTRAL,5938.050821
1000000X000,45.5154122,46.882471,AL000160,Sterling Highway (Sterling Highway),Moose River BR # 0672 Begin Deck,Scout Lake Road,1,3,99999,Rural,1.3670588,7077,6740,6558,6596,6062,5829,5824,5950,6427,6128,6800,6410,6831,,6480,6449,6580,6590,CENTRAL,2200.072294
1000000X000,38.8031632,42.6755153,AL002765,Sterling Highway (Sterling Highway),Skilak Lake Road,Kenai Keys Road,1,3,99999,Rural,3.8723521,3368,4863,4732,4760,4067,3911,3908,3420,3783,3607,4220,3910,4217,,4100,4083,3620,3550,CENTRAL,6231.959076
1000000X000,42.6755153,45.5154122,AL000161,Sterling Highway (Sterling Highway),Kenai Keys Road,Moose River BR # 0672 Begin Deck,1,3,99999,Rural,2.8398969,3842,4054,3945,3915,3877,3728,3706,3652,3711,3846,3802,3526,3800,,3771,3757,3763,3689,CENTRAL,4570.380186
1000000X000,57.8310395,58.2367355,AL000155,Sterling Highway (Sterling Highway),Kobuk Street,Kalifornsky Beach Road,3,2,99998,Soldotna,0.405696,14690,15907,16145,19660,19084,18799,19190,18603,18553,17690,17414,18140,19070,,18892,17510,17290,17327,CENTRAL,652.9052931
1000000X000,57.5254715,57.8310395,AL002092,Sterling Highway (Sterling Highway),Binkley Street,Kobuk Street,3,2,99998,Soldotna,0.305568,18680,21179,17452,21252,16339,16095,18093,18070,19223,18329,19010,18300,19247,,18658,19464,19790,19830,CENTRAL,491.7654744
